PRODUCT BACKLOG — Trợ lý AI Hành chính Văn phòng (OpenClaw),,,,,,,
ID,Chức năng,Tính năng,Đối tượng (Ai),Hành động (Muốn gì),Mục đích (Để làm gì),Độ ưu tiên,Sprint
US-163,Soạn thảo văn bản,Biên bản họp mẫu_7,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🟡 Trung bình,Sprint 3
US-164,Soạn thảo văn bản,Thông báo nội bộ mẫu_7,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🟡 Trung bình,Sprint 3
US-165,Soạn thảo văn bản,Giấy mời họp mẫu_7,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🟡 Trung bình,Sprint 3
US-166,Soạn thảo văn bản,Hợp đồng lao động mẫu_7,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🟡 Trung bình,Sprint 3
US-167,Soạn thảo văn bản,Báo cáo tháng mẫu_7,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🟡 Trung bình,Sprint 3
US-168,Soạn thảo văn bản,Thư ngỏ mẫu_7,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🟡 Trung bình,Sprint 3
US-169,Soạn thảo văn bản,Quyết định khen thưởng mẫu_7,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🟡 Trung bình,Sprint 3
US-170,Soạn thảo văn bản,Giấy ủy quyền mẫu_7,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🟡 Trung bình,Sprint 3
US-171,Soạn thảo văn bản,Soạn công văn mẫu_8,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🟡 Trung bình,Sprint 3
US-172,Soạn thảo văn bản,Tờ trình mua sắm mẫu_8,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🟡 Trung bình,Sprint 3
US-173,Soạn thảo văn bản,Biên bản họp mẫu_8,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🟡 Trung bình,Sprint 3
US-174,Soạn thảo văn bản,Thông báo nội bộ mẫu_8,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🟡 Trung bình,Sprint 3
US-175,Soạn thảo văn bản,Giấy mời họp mẫu_8,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🟡 Trung bình,Sprint 3
US-176,Soạn thảo văn bản,Hợp đồng lao động mẫu_8,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🟡 Trung bình,Sprint 3
US-177,Soạn thảo văn bản,Báo cáo tháng mẫu_8,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🟡 Trung bình,Sprint 3
US-178,Soạn thảo văn bản,Thư ngỏ mẫu_8,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🟡 Trung bình,Sprint 3
US-179,Soạn thảo văn bản,Quyết định khen thưởng mẫu_8,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🟡 Trung bình,Sprint 3
US-180,Soạn thảo văn bản,Giấy ủy quyền mẫu_8,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🟡 Trung bình,Sprint 3
US-181,Soạn thảo văn bản,Soạn công văn mẫu_9,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🟡 Trung bình,Sprint 3
US-182,Soạn thảo văn bản,Tờ trình mua sắm mẫu_9,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🟡 Trung bình,Sprint 3
US-183,Soạn thảo văn bản,Biên bản họp mẫu_9,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🟡 Trung bình,Sprint 3
US-184,Soạn thảo văn bản,Thông báo nội bộ mẫu_9,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🟡 Trung bình,Sprint 3
US-185,Soạn thảo văn bản,Giấy mời họp mẫu_9,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🟡 Trung bình,Sprint 3
US-186,Soạn thảo văn bản,Hợp đồng lao động mẫu_9,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🟡 Trung bình,Sprint 3
US-187,Soạn thảo văn bản,Báo cáo tháng mẫu_9,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🟡 Trung bình,Sprint 3
US-188,Soạn thảo văn bản,Thư ngỏ mẫu_9,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🟡 Trung bình,Sprint 3
US-189,Soạn thảo văn bản,Quyết định khen thưởng mẫu_9,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🟡 Trung bình,Sprint 3
US-190,Soạn thảo văn bản,Giấy ủy quyền mẫu_9,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🟡 Trung bình,Sprint 3
US-191,Soạn thảo văn bản,Soạn công văn mẫu_10,Là Thư ký,muốn sinh mẫu công văn đi,để gửi các đơn vị,🟡 Trung bình,Sprint 3
US-192,Soạn thảo văn bản,Tờ trình mua sắm mẫu_10,Là Nhân viên,muốn soạn tờ trình kinh phí,để trình lãnh đạo duyệt,🟡 Trung bình,Sprint 3
US-193,Soạn thảo văn bản,Biên bản họp mẫu_10,Là Thư ký,muốn tổng hợp ý kiến thành biên bản,để lưu trữ nội dung họp,🟡 Trung bình,Sprint 3
US-194,Soạn thảo văn bản,Thông báo nội bộ mẫu_10,Là HR,muốn soạn thông báo nghỉ lễ,để gửi toàn công ty,🟡 Trung bình,Sprint 3
US-195,Soạn thảo văn bản,Giấy mời họp mẫu_10,Là Văn phòng,muốn tạo giấy mời theo danh sách,để mời đại biểu,🟡 Trung bình,Sprint 3
US-196,Soạn thảo văn bản,Hợp đồng lao động mẫu_10,Là HR,muốn soạn hợp đồng theo mẫu,để ký kết với nhân viên,🟡 Trung bình,Sprint 3
US-197,Soạn thảo văn bản,Báo cáo tháng mẫu_10,Là Trưởng phòng,muốn tổng hợp kết quả công việc,để báo cáo giám đốc,🟡 Trung bình,Sprint 3
US-198,Soạn thảo văn bản,Thư ngỏ mẫu_10,Là Kinh doanh,muốn soạn thư giới thiệu dịch vụ,để tiếp cận khách hàng,🟡 Trung bình,Sprint 3
US-199,Soạn thảo văn bản,Quyết định khen thưởng mẫu_10,Là Lãnh đạo,muốn soạn quyết định thưởng,để động viên nhân viên,🟡 Trung bình,Sprint 3
US-200,Soạn thảo văn bản,Giấy ủy quyền mẫu_10,Là Nhân viên,muốn tạo mẫu ủy quyền giải quyết việc,để đúng thủ tục pháp lý,🟡 Trung bình,Sprint 3
US-201,Quản lý công việc,Trích xuất Task feature_1,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🔴 Cao,Sprint 3
US-202,Quản lý công việc,Nhắc deadline feature_1,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🔴 Cao,Sprint 3
US-203,Quản lý công việc,Gán người thực hiện feature_1,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🔴 Cao,Sprint 3
US-204,Quản lý công việc,Cập nhật trạng thái feature_1,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🔴 Cao,Sprint 3
US-205,Quản lý công việc,Lịch Google feature_1,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🔴 Cao,Sprint 3
US-206,Quản lý công việc,Báo cáo Kanban feature_1,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🔴 Cao,Sprint 3
US-207,Quản lý công việc,Ưu tiên việc feature_1,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🔴 Cao,Sprint 3
US-208,Quản lý công việc,Thống kê năng suất feature_1,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🔴 Cao,Sprint 3
US-209,Quản lý công việc,Trích xuất Task feature_2,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🔴 Cao,Sprint 3
US-210,Quản lý công việc,Nhắc deadline feature_2,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🔴 Cao,Sprint 3
US-211,Quản lý công việc,Gán người thực hiện feature_2,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🔴 Cao,Sprint 3
US-212,Quản lý công việc,Cập nhật trạng thái feature_2,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🔴 Cao,Sprint 3
US-213,Quản lý công việc,Lịch Google feature_2,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🔴 Cao,Sprint 3
US-214,Quản lý công việc,Báo cáo Kanban feature_2,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🔴 Cao,Sprint 3
US-215,Quản lý công việc,Ưu tiên việc feature_2,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🔴 Cao,Sprint 3
US-216,Quản lý công việc,Thống kê năng suất feature_2,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🔴 Cao,Sprint 3
US-217,Quản lý công việc,Trích xuất Task feature_3,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🔴 Cao,Sprint 3
US-218,Quản lý công việc,Nhắc deadline feature_3,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🔴 Cao,Sprint 3
US-219,Quản lý công việc,Gán người thực hiện feature_3,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🔴 Cao,Sprint 3
US-220,Quản lý công việc,Cập nhật trạng thái feature_3,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🔴 Cao,Sprint 3
US-221,Quản lý công việc,Lịch Google feature_3,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🔴 Cao,Sprint 3
US-222,Quản lý công việc,Báo cáo Kanban feature_3,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🔴 Cao,Sprint 3
US-223,Quản lý công việc,Ưu tiên việc feature_3,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🔴 Cao,Sprint 3
US-224,Quản lý công việc,Thống kê năng suất feature_3,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🔴 Cao,Sprint 3
US-225,Quản lý công việc,Trích xuất Task feature_4,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🔴 Cao,Sprint 3
US-226,Quản lý công việc,Nhắc deadline feature_4,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🔴 Cao,Sprint 3
US-227,Quản lý công việc,Gán người thực hiện feature_4,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🔴 Cao,Sprint 3
US-228,Quản lý công việc,Cập nhật trạng thái feature_4,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🔴 Cao,Sprint 3
US-229,Quản lý công việc,Lịch Google feature_4,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🔴 Cao,Sprint 3
US-230,Quản lý công việc,Báo cáo Kanban feature_4,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🔴 Cao,Sprint 3
US-231,Quản lý công việc,Ưu tiên việc feature_4,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🟡 Trung bình,Sprint 3
US-232,Quản lý công việc,Thống kê năng suất feature_4,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🟡 Trung bình,Sprint 3
US-233,Quản lý công việc,Trích xuất Task feature_5,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🟡 Trung bình,Sprint 3
US-234,Quản lý công việc,Nhắc deadline feature_5,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🟡 Trung bình,Sprint 3
US-235,Quản lý công việc,Gán người thực hiện feature_5,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🟡 Trung bình,Sprint 3
US-236,Quản lý công việc,Cập nhật trạng thái feature_5,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🟡 Trung bình,Sprint 3
US-237,Quản lý công việc,Lịch Google feature_5,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🟡 Trung bình,Sprint 3
US-238,Quản lý công việc,Báo cáo Kanban feature_5,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🟡 Trung bình,Sprint 3
US-239,Quản lý công việc,Ưu tiên việc feature_5,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🟡 Trung bình,Sprint 3
US-240,Quản lý công việc,Thống kê năng suất feature_5,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🟡 Trung bình,Sprint 3
US-241,Quản lý công việc,Trích xuất Task feature_6,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🟡 Trung bình,Sprint 4
US-242,Quản lý công việc,Nhắc deadline feature_6,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🟡 Trung bình,Sprint 4
US-243,Quản lý công việc,Gán người thực hiện feature_6,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🟡 Trung bình,Sprint 4
US-244,Quản lý công việc,Cập nhật trạng thái feature_6,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🟡 Trung bình,Sprint 4
US-245,Quản lý công việc,Lịch Google feature_6,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🟡 Trung bình,Sprint 4
US-246,Quản lý công việc,Báo cáo Kanban feature_6,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🟡 Trung bình,Sprint 4
US-247,Quản lý công việc,Ưu tiên việc feature_6,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🟡 Trung bình,Sprint 4
US-248,Quản lý công việc,Thống kê năng suất feature_6,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🟡 Trung bình,Sprint 4
US-249,Quản lý công việc,Trích xuất Task feature_7,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🟡 Trung bình,Sprint 4
US-250,Quản lý công việc,Nhắc deadline feature_7,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🟡 Trung bình,Sprint 4
US-251,Quản lý công việc,Gán người thực hiện feature_7,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🟡 Trung bình,Sprint 4
US-252,Quản lý công việc,Cập nhật trạng thái feature_7,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🟡 Trung bình,Sprint 4
US-253,Quản lý công việc,Lịch Google feature_7,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🟡 Trung bình,Sprint 4
US-254,Quản lý công việc,Báo cáo Kanban feature_7,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🟡 Trung bình,Sprint 4
US-255,Quản lý công việc,Ưu tiên việc feature_7,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🟡 Trung bình,Sprint 4
US-256,Quản lý công việc,Thống kê năng suất feature_7,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🟡 Trung bình,Sprint 4
US-257,Quản lý công việc,Trích xuất Task feature_8,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🟡 Trung bình,Sprint 4
US-258,Quản lý công việc,Nhắc deadline feature_8,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🟡 Trung bình,Sprint 4
US-259,Quản lý công việc,Gán người thực hiện feature_8,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🟡 Trung bình,Sprint 4
US-260,Quản lý công việc,Cập nhật trạng thái feature_8,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🟡 Trung bình,Sprint 4
US-261,Quản lý công việc,Lịch Google feature_8,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🟡 Trung bình,Sprint 4
US-262,Quản lý công việc,Báo cáo Kanban feature_8,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🟡 Trung bình,Sprint 4
US-263,Quản lý công việc,Ưu tiên việc feature_8,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🟡 Trung bình,Sprint 4
US-264,Quản lý công việc,Thống kê năng suất feature_8,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🟡 Trung bình,Sprint 4
US-265,Quản lý công việc,Trích xuất Task feature_9,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🟡 Trung bình,Sprint 4
US-266,Quản lý công việc,Nhắc deadline feature_9,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🟡 Trung bình,Sprint 4
US-267,Quản lý công việc,Gán người thực hiện feature_9,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🟡 Trung bình,Sprint 4
US-268,Quản lý công việc,Cập nhật trạng thái feature_9,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🟡 Trung bình,Sprint 4
US-269,Quản lý công việc,Lịch Google feature_9,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🟡 Trung bình,Sprint 4
US-270,Quản lý công việc,Báo cáo Kanban feature_9,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🟡 Trung bình,Sprint 4
US-271,Quản lý công việc,Ưu tiên việc feature_9,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🟡 Trung bình,Sprint 4
US-272,Quản lý công việc,Thống kê năng suất feature_9,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🟡 Trung bình,Sprint 4
US-273,Quản lý công việc,Trích xuất Task feature_10,Là Manager,muốn liệt kê đầu việc từ chat,để theo dõi tiến độ,🟡 Trung bình,Sprint 4
US-274,Quản lý công việc,Nhắc deadline feature_10,Là Nhân viên,muốn nhận tin nhắn nhắc việc sáng 8h,để không quên nhiệm vụ,🟡 Trung bình,Sprint 4
US-275,Quản lý công việc,Gán người thực hiện feature_10,Là Trưởng nhóm,muốn chỉ định nhân sự cho task,để rõ ràng trách nhiệm,🟡 Trung bình,Sprint 4
US-276,Quản lý công việc,Cập nhật trạng thái feature_10,Là Nhân viên,muốn đổi task sang Done bằng lệnh,để báo cáo hoàn thành,🟡 Trung bình,Sprint 4
US-277,Quản lý công việc,Lịch Google feature_10,Là Người dùng,muốn đồng bộ task sang Calendar,để quản lý thời gian,🟡 Trung bình,Sprint 4
US-278,Quản lý công việc,Báo cáo Kanban feature_10,Là Quản lý,muốn xem danh sách việc đang làm,để điều phối nguồn lực,🟡 Trung bình,Sprint 4
US-279,Quản lý công việc,Ưu tiên việc feature_10,Là Nhân viên,muốn sắp xếp task theo độ khẩn,để xử lý việc quan trọng trước,🟡 Trung bình,Sprint 4
US-280,Quản lý công việc,Thống kê năng suất feature_10,Là Lãnh đạo,muốn xem số task hoàn thành trong tuần,để đánh giá nhân viên,🟡 Trung bình,Sprint 4
US-281,Tích hợp hệ thống,Kết nối Gmail module_1,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 3
US-282,Tích hợp hệ thống,Gửi file Drive module_1,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 3
US-283,Tích hợp hệ thống,Webhook Jira module_1,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 3
US-284,Tích hợp hệ thống,Bot Telegram module_1,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 3
US-285,Tích hợp hệ thống,Zalo Integration module_1,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 3
US-286,Tích hợp hệ thống,API nội bộ module_1,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 3
US-287,Tích hợp hệ thống,Hệ thống chữ ký số module_1,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 3
US-288,Tích hợp hệ thống,Kết nối Gmail module_2,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 3
US-289,Tích hợp hệ thống,Gửi file Drive module_2,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 3
US-290,Tích hợp hệ thống,Webhook Jira module_2,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 3
US-291,Tích hợp hệ thống,Bot Telegram module_2,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 3
US-292,Tích hợp hệ thống,Zalo Integration module_2,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 3
US-293,Tích hợp hệ thống,API nội bộ module_2,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 3
US-294,Tích hợp hệ thống,Hệ thống chữ ký số module_2,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 3
US-295,Tích hợp hệ thống,Kết nối Gmail module_3,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 3
US-296,Tích hợp hệ thống,Gửi file Drive module_3,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 3
US-297,Tích hợp hệ thống,Webhook Jira module_3,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 3
US-298,Tích hợp hệ thống,Bot Telegram module_3,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 3
US-299,Tích hợp hệ thống,Zalo Integration module_3,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 3
US-300,Tích hợp hệ thống,API nội bộ module_3,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 3
US-301,Tích hợp hệ thống,Hệ thống chữ ký số module_3,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 3
US-302,Tích hợp hệ thống,Kết nối Gmail module_4,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 3
US-303,Tích hợp hệ thống,Gửi file Drive module_4,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 3
US-304,Tích hợp hệ thống,Webhook Jira module_4,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 3
US-305,Tích hợp hệ thống,Bot Telegram module_4,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 3
US-306,Tích hợp hệ thống,Zalo Integration module_4,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 3
US-307,Tích hợp hệ thống,API nội bộ module_4,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 3
US-308,Tích hợp hệ thống,Hệ thống chữ ký số module_4,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 3
US-309,Tích hợp hệ thống,Kết nối Gmail module_5,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 3
US-310,Tích hợp hệ thống,Gửi file Drive module_5,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 3
US-311,Tích hợp hệ thống,Webhook Jira module_5,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 3
US-312,Tích hợp hệ thống,Bot Telegram module_5,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 3
US-313,Tích hợp hệ thống,Zalo Integration module_5,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 3
US-314,Tích hợp hệ thống,API nội bộ module_5,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 3
US-315,Tích hợp hệ thống,Hệ thống chữ ký số module_5,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 3
US-316,Tích hợp hệ thống,Kết nối Gmail module_6,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 4
US-317,Tích hợp hệ thống,Gửi file Drive module_6,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 4
US-318,Tích hợp hệ thống,Webhook Jira module_6,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 4
US-319,Tích hợp hệ thống,Bot Telegram module_6,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 4
US-320,Tích hợp hệ thống,Zalo Integration module_6,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 4
US-321,Tích hợp hệ thống,API nội bộ module_6,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 4
US-322,Tích hợp hệ thống,Hệ thống chữ ký số module_6,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 4
US-323,Tích hợp hệ thống,Kết nối Gmail module_7,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 4
US-324,Tích hợp hệ thống,Gửi file Drive module_7,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 4
US-325,Tích hợp hệ thống,Webhook Jira module_7,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 4
US-326,Tích hợp hệ thống,Bot Telegram module_7,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 4
