🚀 SPRINT BACKLOG — SPRINT 4,,,,,,,,,
📅 Thời gian: 22/04/2026 – 28/04/2026,,,,,"🎯 Sprint Goal: Hoàn thiện trải nghiệm người dùng, tích hợp nâng cao & đa kênh",,,,
📊 Tổng: 195 User Stories  |  Story Points: 527,,,🔴 Cao: 0   🟡 TB: 166   🟢 Thấp: 29,,,Trạng thái: To Do  |  In Progress  |  Done,,,
141,US-446,Trải nghiệm & Báo cáo,Là Là Thư ký muốn xem lại các bản thảo cũ để sửa đổi nội dung,Là Thư ký,để sửa đổi nội dung,🟡 Trung bình,3,,To Do
142,US-447,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận gợi ý phím bấm để thao tác nhanh hơn,Là Người dùng,để thao tác nhanh hơn,🟡 Trung bình,3,,To Do
143,US-448,Trải nghiệm & Báo cáo,Là Là Nhân viên muốn chuyển giao diện sang tiếng Anh để phục vụ chuyên gia nước ngoài,Là Nhân viên,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,3,,To Do
144,US-449,Trải nghiệm & Báo cáo,Là Là Quản lý muốn xem biểu đồ hình tròn về task để dễ nắm bắt thông tin,Là Quản lý,để dễ nắm bắt thông tin,🟡 Trung bình,3,,To Do
145,US-450,Trải nghiệm & Báo cáo,Là Là User mới muốn xem video tutorial để biết cách dùng bot,Là User mới,để biết cách dùng bot,🟡 Trung bình,3,,To Do
146,US-451,Trải nghiệm & Báo cáo,Là Là Người dùng muốn gửi report khi bot trả lời sai để cải thiện chất lượng AI,Là Người dùng,để cải thiện chất lượng AI,🟡 Trung bình,3,,To Do
147,US-452,Trải nghiệm & Báo cáo,Là Là Kế toán muốn tải danh sách thu chi để làm báo cáo thuế,Là Kế toán,để làm báo cáo thuế,🟡 Trung bình,3,,To Do
148,US-453,Trải nghiệm & Báo cáo,Là Là Người dùng muốn đổi giao diện dashboard sang màu tối để dịu mắt khi làm việc đêm,Là Người dùng,để dịu mắt khi làm việc đêm,🟡 Trung bình,3,,To Do
149,US-454,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận chuông khi có tin nhắn khẩn để xử lý tức thì,Là Người dùng,để xử lý tức thì,🟡 Trung bình,3,,To Do
150,US-455,Trải nghiệm & Báo cáo,Là Là Thư ký muốn xem lại các bản thảo cũ để sửa đổi nội dung,Là Thư ký,để sửa đổi nội dung,🟡 Trung bình,3,,To Do
151,US-456,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận gợi ý phím bấm để thao tác nhanh hơn,Là Người dùng,để thao tác nhanh hơn,🟡 Trung bình,3,,To Do
152,US-457,Trải nghiệm & Báo cáo,Là Là Nhân viên muốn chuyển giao diện sang tiếng Anh để phục vụ chuyên gia nước ngoài,Là Nhân viên,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,3,,To Do
153,US-458,Trải nghiệm & Báo cáo,Là Là Quản lý muốn xem biểu đồ hình tròn về task để dễ nắm bắt thông tin,Là Quản lý,để dễ nắm bắt thông tin,🟡 Trung bình,3,,To Do
154,US-459,Trải nghiệm & Báo cáo,Là Là User mới muốn xem video tutorial để biết cách dùng bot,Là User mới,để biết cách dùng bot,🟡 Trung bình,3,,To Do
155,US-460,Trải nghiệm & Báo cáo,Là Là Người dùng muốn gửi report khi bot trả lời sai để cải thiện chất lượng AI,Là Người dùng,để cải thiện chất lượng AI,🟡 Trung bình,3,,To Do
156,US-461,Trải nghiệm & Báo cáo,Là Là Kế toán muốn tải danh sách thu chi để làm báo cáo thuế,Là Kế toán,để làm báo cáo thuế,🟡 Trung bình,3,,To Do
157,US-462,Trải nghiệm & Báo cáo,Là Là Người dùng muốn đổi giao diện dashboard sang màu tối để dịu mắt khi làm việc đêm,Là Người dùng,để dịu mắt khi làm việc đêm,🟡 Trung bình,3,,To Do
158,US-463,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận chuông khi có tin nhắn khẩn để xử lý tức thì,Là Người dùng,để xử lý tức thì,🟡 Trung bình,3,,To Do
159,US-464,Trải nghiệm & Báo cáo,Là Là Thư ký muốn xem lại các bản thảo cũ để sửa đổi nội dung,Là Thư ký,để sửa đổi nội dung,🟡 Trung bình,3,,To Do
160,US-465,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận gợi ý phím bấm để thao tác nhanh hơn,Là Người dùng,để thao tác nhanh hơn,🟡 Trung bình,3,,To Do
161,US-466,Trải nghiệm & Báo cáo,Là Là Nhân viên muốn chuyển giao diện sang tiếng Anh để phục vụ chuyên gia nước ngoài,Là Nhân viên,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,3,,To Do
162,US-467,Trải nghiệm & Báo cáo,Là Là Quản lý muốn xem biểu đồ hình tròn về task để dễ nắm bắt thông tin,Là Quản lý,để dễ nắm bắt thông tin,🟡 Trung bình,3,,To Do
163,US-468,Trải nghiệm & Báo cáo,Là Là User mới muốn xem video tutorial để biết cách dùng bot,Là User mới,để biết cách dùng bot,🟡 Trung bình,3,,To Do
164,US-469,Trải nghiệm & Báo cáo,Là Là Người dùng muốn gửi report khi bot trả lời sai để cải thiện chất lượng AI,Là Người dùng,để cải thiện chất lượng AI,🟡 Trung bình,3,,To Do
165,US-470,Trải nghiệm & Báo cáo,Là Là Kế toán muốn tải danh sách thu chi để làm báo cáo thuế,Là Kế toán,để làm báo cáo thuế,🟡 Trung bình,3,,To Do
166,US-471,Trải nghiệm & Báo cáo,Là Là Người dùng muốn đổi giao diện dashboard sang màu tối để dịu mắt khi làm việc đêm,Là Người dùng,để dịu mắt khi làm việc đêm,🟡 Trung bình,3,,To Do
167,US-472,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận chuông khi có tin nhắn khẩn để xử lý tức thì,Là Người dùng,để xử lý tức thì,🟢 Thấp,1,,To Do
168,US-473,Trải nghiệm & Báo cáo,Là Là Thư ký muốn xem lại các bản thảo cũ để sửa đổi nội dung,Là Thư ký,để sửa đổi nội dung,🟢 Thấp,1,,To Do
169,US-474,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận gợi ý phím bấm để thao tác nhanh hơn,Là Người dùng,để thao tác nhanh hơn,🟢 Thấp,1,,To Do
170,US-475,Trải nghiệm & Báo cáo,Là Là Nhân viên muốn chuyển giao diện sang tiếng Anh để phục vụ chuyên gia nước ngoài,Là Nhân viên,để phục vụ chuyên gia nước ngoài,🟢 Thấp,1,,To Do
171,US-476,Trải nghiệm & Báo cáo,Là Là Quản lý muốn xem biểu đồ hình tròn về task để dễ nắm bắt thông tin,Là Quản lý,để dễ nắm bắt thông tin,🟢 Thấp,1,,To Do
172,US-477,Trải nghiệm & Báo cáo,Là Là User mới muốn xem video tutorial để biết cách dùng bot,Là User mới,để biết cách dùng bot,🟢 Thấp,1,,To Do
173,US-478,Trải nghiệm & Báo cáo,Là Là Người dùng muốn gửi report khi bot trả lời sai để cải thiện chất lượng AI,Là Người dùng,để cải thiện chất lượng AI,🟢 Thấp,1,,To Do
174,US-479,Trải nghiệm & Báo cáo,Là Là Kế toán muốn tải danh sách thu chi để làm báo cáo thuế,Là Kế toán,để làm báo cáo thuế,🟢 Thấp,1,,To Do
175,US-480,Trải nghiệm & Báo cáo,Là Là Người dùng muốn đổi giao diện dashboard sang màu tối để dịu mắt khi làm việc đêm,Là Người dùng,để dịu mắt khi làm việc đêm,🟢 Thấp,1,,To Do
176,US-481,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận chuông khi có tin nhắn khẩn để xử lý tức thì,Là Người dùng,để xử lý tức thì,🟢 Thấp,1,,To Do
177,US-482,Trải nghiệm & Báo cáo,Là Là Thư ký muốn xem lại các bản thảo cũ để sửa đổi nội dung,Là Thư ký,để sửa đổi nội dung,🟢 Thấp,1,,To Do
178,US-483,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận gợi ý phím bấm để thao tác nhanh hơn,Là Người dùng,để thao tác nhanh hơn,🟢 Thấp,1,,To Do
179,US-484,Trải nghiệm & Báo cáo,Là Là Nhân viên muốn chuyển giao diện sang tiếng Anh để phục vụ chuyên gia nước ngoài,Là Nhân viên,để phục vụ chuyên gia nước ngoài,🟢 Thấp,1,,To Do
180,US-485,Trải nghiệm & Báo cáo,Là Là Quản lý muốn xem biểu đồ hình tròn về task để dễ nắm bắt thông tin,Là Quản lý,để dễ nắm bắt thông tin,🟢 Thấp,1,,To Do
181,US-486,Trải nghiệm & Báo cáo,Là Là User mới muốn xem video tutorial để biết cách dùng bot,Là User mới,để biết cách dùng bot,🟢 Thấp,1,,To Do
182,US-487,Trải nghiệm & Báo cáo,Là Là Người dùng muốn gửi report khi bot trả lời sai để cải thiện chất lượng AI,Là Người dùng,để cải thiện chất lượng AI,🟢 Thấp,1,,To Do
183,US-488,Trải nghiệm & Báo cáo,Là Là Kế toán muốn tải danh sách thu chi để làm báo cáo thuế,Là Kế toán,để làm báo cáo thuế,🟢 Thấp,1,,To Do
184,US-489,Trải nghiệm & Báo cáo,Là Là Người dùng muốn đổi giao diện dashboard sang màu tối để dịu mắt khi làm việc đêm,Là Người dùng,để dịu mắt khi làm việc đêm,🟢 Thấp,1,,To Do
185,US-490,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận chuông khi có tin nhắn khẩn để xử lý tức thì,Là Người dùng,để xử lý tức thì,🟢 Thấp,1,,To Do
186,US-491,Trải nghiệm & Báo cáo,Là Là Thư ký muốn xem lại các bản thảo cũ để sửa đổi nội dung,Là Thư ký,để sửa đổi nội dung,🟢 Thấp,1,,To Do
187,US-492,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận gợi ý phím bấm để thao tác nhanh hơn,Là Người dùng,để thao tác nhanh hơn,🟢 Thấp,1,,To Do
188,US-493,Trải nghiệm & Báo cáo,Là Là Nhân viên muốn chuyển giao diện sang tiếng Anh để phục vụ chuyên gia nước ngoài,Là Nhân viên,để phục vụ chuyên gia nước ngoài,🟢 Thấp,1,,To Do
189,US-494,Trải nghiệm & Báo cáo,Là Là Quản lý muốn xem biểu đồ hình tròn về task để dễ nắm bắt thông tin,Là Quản lý,để dễ nắm bắt thông tin,🟢 Thấp,1,,To Do
190,US-495,Trải nghiệm & Báo cáo,Là Là User mới muốn xem video tutorial để biết cách dùng bot,Là User mới,để biết cách dùng bot,🟢 Thấp,1,,To Do
191,US-496,Trải nghiệm & Báo cáo,Là Là Người dùng muốn gửi report khi bot trả lời sai để cải thiện chất lượng AI,Là Người dùng,để cải thiện chất lượng AI,🟢 Thấp,1,,To Do
192,US-497,Trải nghiệm & Báo cáo,Là Là Kế toán muốn tải danh sách thu chi để làm báo cáo thuế,Là Kế toán,để làm báo cáo thuế,🟢 Thấp,1,,To Do
193,US-498,Trải nghiệm & Báo cáo,Là Là Người dùng muốn đổi giao diện dashboard sang màu tối để dịu mắt khi làm việc đêm,Là Người dùng,để dịu mắt khi làm việc đêm,🟢 Thấp,1,,To Do
194,US-499,Trải nghiệm & Báo cáo,Là Là Người dùng muốn nhận chuông khi có tin nhắn khẩn để xử lý tức thì,Là Người dùng,để xử lý tức thì,🟢 Thấp,1,,To Do
195,US-500,Trải nghiệm & Báo cáo,Là Là Thư ký muốn xem lại các bản thảo cũ để sửa đổi nội dung,Là Thư ký,để sửa đổi nội dung,🟢 Thấp,1,,To Do
,,,,,,,,,
✅ TỔNG CỘNG SPRINT 4,,,,,,,527,,
